"CASRN"	"Chemical"	"Tc"	"Pc"	"Vc"	"omega"
"105-45-3"	"methyl acetoacetate"	642	37.1	343	0.513
"105-46-4"	"sec-butyl acetate"	561	31.7	389	0.395
"105-53-3"	"diethyl malonate"	653	27.8	469	0.616
"105-54-4"	"ethyl butanoate"	571	29.5	403	0.401
"105-56-6"	"ethyl cyanoacetate"	679	33.4	358	0.558
"105-57-7"	"acetal"	539.7	32.2	402	0.487
"105-58-8"	"diethyl carbonate"	576	33.9	356	0.486
"105-59-9"	"methyl diethanolamine"	675	38.8	368	1.165
"105-60-2"	"epsiloN-caprolactam"	806	47.7	356	0.476
"105-66-8"	"propyl butanoate"	593.7	27.2	442	0.433
"105-67-9"	"2,4-xylenol"	707.65	44	390	0.514
"105-68-0"	"isopentyl propanoate"	611	25.5	497	0.462
"105-76-0"	"dibutyl maleate"	716	19	719	0.899
"105-79-3"	"isobutyl hexanoate"	637	22	600	0.579
"105-85-1"	"citronellyl formate"	672	22.5	578.4	
"10519-33-2"	"3-deceN-2-one"	675	25.6	584.2	
"10522-26-6"	"2-methyl-1-undecanol"	712.9	19.7	704.5	0.635
"10523-96-3"	"4-chloro-2-methyl-1-butene"	569.17	35.1	346.5	0.281
"10524-01-3"	"4-chloro-3-methyl-1-butene"	554.87	35.22	339.5	0.277
"10524-07-9"	"5-chloro-trans-2-pentene"	576.34	35.3	344.5	0.296
"10524-08-0"	"4-chloro-1-pentene"	562.47	35.22	339.5	0.277
"10524-70-6"	"3,3-dimethyl-1-hexanol"	616.63	28.44	491.5	0.738
"10524-71-7"	"3-methyl-3-ethyl-1-pentanol"	608.48	28.44	491.5	0.738
"10525-37-8"	"eicosylamine"	794.6	9.5	1170	0.98
"10544-63-5"	"ethyl 2-butenoate"	569	32.5	376	0.434
"10544-72-6"	"nitrogen tetraoxide"	431.15	101.33	82.49	0.8533
"10544-73-7"	"nitrogen trioxide"	425	69.9	195	0.4312
"10545-99-0"	"sulfur dichloride"	542	66.8	183	0.2561
"10557-44-5"	"2,5-dimethyl-cis3-hexene"	550.28	27.18	451.5	0.317
"10570-69-1"	"2,6-dimethyl-4-ethylphenol"	713.32	33.18	421.5	0.54
"10574-36-4"	"3-methyl-cis2-hexene"	549.51	29.76	408.5	0.307
"10574-37-5"	"2,3-dimethyl-2-pentene"	553.47	29.93	409.5	0.282
"10575-56-1"	"3,4,4-trimethyl-2-pentanol"	592.43	28.94	479.5	0.674
"10575-87-8"	"1,2-dichloroheptane"	654.02	26.14	519.5	0.442
"10580-52-6"	"vanadium (II) chloride"	1918.64	0	0	
"10588-10-0"	"2-methylpropyl pentanoate"	629	23.3	547	0.596
"106-18-3"	"N-butyl laurate"	721	15	875.6	
"106-20-7"	"bis(2-ethylhexyl)amine"	702	14.7	985	0.918
"106-21-8"	"3,7-dimethyl-1-octanol"	638.54	23.34	602.5	0.852
"106-22-9"	"citronellol"	656.59	22.36	601.5	0.612
"106-23-0"	"3,7-dimethyl-6-octenal"	670	22	582.3	
"106-27-4"	"3-methylbutyl butanoate"	619	23.3	500	0.694
"106-30-9"	"ethyl heptanoate"	629	23.3	547	0.596
"106-31-0"	"butyric anhydride"	644	26.4	501	0.655
"106-32-1"	"ethyl octanoate"	637	22	600	0.579
"106-33-2"	"ethyl laurate"	695	16.6	803.9	
"106-35-4"	"3-heptanone"	606.6	29.2	433	0.408
"106-36-5"	"propyl propanoate"	568.6	30.6	389	0.449
"106-37-6"	"p-dibromobenzene"	761	46.6	372	0.293
"106-38-7"	"p-bromotoluene"	699	43.7	379	0.318
"106-42-3"	"p-xylene"	616.2	35.11	378	0.322
"106-43-4"	"p-chlorotoluene"	660	39.1	360	0.312
"106-44-5"	"p-cresol"	704.65	51.5	277	0.513
"106-45-6"	"p-methylthiophenol"	716.03	43.86	373.5	0.329
"106-46-7"	"p-dichlorobenzene"	684.75	40.7	351	0.285
"106-47-8"	"p-chloroaniline"	754	45.9	364	0.421
"106-48-9"	"p-chlorophenol"	738	53.2	325	0.485
"106-49-0"	"p-toluidine"	693.15	40	346	0.472
"106-50-3"	"p-phenylenediamine"	796	51.8	317	0.539
"106-51-4"	"p-benzoquinone"	683	59.6	291	0.495
"106-63-8"	"isobutyl acrylate"	587	29.5	433	0.455
"106-65-0"	"dimethyl succinate"	657	32.8	424	0.622
"106-67-2"	"4-methyl-2-ethyl-1-pentanol"	607.39	28.35	490.5	0.773
"106-68-3"	"3-octanone"	624	26.4	469	0.528
"106-70-7"	"methyl hexanoate"	587.95	28.4	442	0.407
"106-72-9"	"2,6-dimethyl-5-heptenal"	650	26	480.1	
"106-73-0"	"methyl heptanoate"	602	26.1	494	0.395
"106-88-7"	"1,2-epoxybutane"	526	43.9	258	0.235
"106-89-8"	"α-epichlorohydrin"	615	49	233	0.252
"106-92-3"	"allyl glycidyl ether"	629	36.8	366	0.409
"106-93-4"	"1,2-dibromoethane"	650.15	54.77	261.6	0.207
"106-94-5"	"1-bromopropane"	544	53.9	266	0.285
"106-95-6"	"3-bromo-1-propene"	540.2	51.39	246.5	0.273
"106-97-8"	"butane"	425.12	37.96	255	0.2
"106-98-9"	"1-butene"	419.59	40.2	239.9	0.187
"106-99-0"	"butadiene (1,3 butadiene)"	425.37	43.3	220.8	0.193
"1066-35-9"	"chlorodimethylsilane"	472	36.2	299	0.253
"1067-08-9"	"3-methyl-3-ethylpentane"	576.5	28.1	455.1	0.305
"1067-09-0"	"1,3-dichloro-2-(chloromethyl)-2-methylpropane"	635.09	31.21	451.5	0.345
"1067-20-5"	"3,3-diethylpentane"	610.05	26.75	473	0.338
"1068-19-5"	"4,4-dimethylheptane"	585.4	24.32	501	0.364
"1068-87-7"	"2,4-dimethyl-3-ethylpentane"	591	25.3	512	0.353
"1069-53-0"	"2,3,5-trimethylhexane"	579.2	24.01	509	0.364
"107-00-6"	"ethylacetylene"	443.2	49.5	222	0.247
"107-01-7"	"2-butene"	425.43	40.82	237.8	0.199
"107-02-8"	"acrolein"	506	50	197	0.32
"107-03-9"	"1-propanethiol"	536.6	46.3	254	0.232
"107-05-1"	"3-chloro-1-propene"	514.15	47.1	234	0.148
"107-06-2"	"1,2-dichloroethane"	561.6	53.7	220	0.287
"107-07-3"	"2-chloroethanol"	585	59.2	212	0.658
"107-08-4"	"1-iodopropane"	593	50.3	290	0.258
"107-10-8"	"propylamine"	496.95	47.4	260	0.28
"107-11-9"	"allylamine"	505	51.7	247	0.327
"107-12-0"	"propionitrile"	564.4	41.85	229	0.325
"107-13-1"	"acrylonitrile"	535	44.8	212	0.35
"107-15-3"	"ethylenediamine"	593	62.9	264	0.472
"107-16-4"	"hydroxyacetonitrile"	664	59.3	195	0.801
"107-18-6"	"allyl alcohol"	545.1	56.2	208	0.57
"107-19-7"	"propargyl alcohol"	580	65.3	176	0.555
"107-20-0"	"chloroacetaldehyde"	555	53.7	201	0.33
"107-21-1"	"ethylene glycol"	720	82	191	0.507
"107-22-2"	"glyoxal"	495	58.8	164	0.413
"107-25-5"	"methyl vinyl ether"	437	46.7	210	0.237
"107-29-9"	"acetaldoxime"	568	60.4	213	0.638
"107-30-2"	"chloromethyl methyl ether"	521	50.3	214	0.27
"107-31-3"	"methyl formate"	487.2	59.98	172	0.254
"107-39-1"	"2,4,4-trimethyl-1-pentene"	550	26.8	436	0.301
"107-40-4"	"2,4,4-trimethyl-2-pentene"	555	26.8	436	0.297
"107-41-5"	"hexylene glycol"	621	40.1	398	1.158
"107-45-9"	"tert-octylamine"	601.45	26.52	517.6	0.5
"107-46-0"	"hexamethyldisiloxane"	518.7	19.14	601	0.415
"107-47-1"	"di-tert-butyl sulfide"	658.04	25.59	537.5	0.447
"107-51-7"	"octamethyltrisiloxane"	564.4	14.4	868	0.533
"107-52-8"	"tetradecamethylhexasiloxane"	653.2	8.04	1808	0.785
"107-74-4"	"3,7-dimethyl-1,7-octanediol"	716.12	25.3	629	1.315
"107-80-2"	"1,3-dibromobutane"	672.32	47.17	377.5	0.435
"107-81-3"	"2-bromopentane"	585.36	38.06	371.5	0.359
"107-82-4"	"1-bromo-3-methylbutane"	589.86	38.06	371.5	0.359
"107-83-5"	"2-methylpentane"	497.7	30.4	368	0.279
"107-84-6"	"1-chloro-3-methylbutane"	558.87	33.53	358.5	0.293
"107-85-7"	"3-methylbutylamine"	544.9	36.2	340	0.416
"107-86-8"	"3-methyl-2-butenal"	570	41	271.5	
"107-87-9"	"methyl propyl ketone"	561.08	36.94	301	0.343
"107-88-0"	"1,3-butanediol"	676	40.2	305	0.704
"107-89-1"	"3-hydroxybutanal"	620	45.9	278	0.797
"107-92-6"	"butanoic acid"	615.7	40.64	291.7	0.681
"107-93-7"	"trans-2-butenoic acid"	666	47	270	0.571
"107-96-0"	"3-mercaptopropionic acid"	729	50.2	281	0.589
"107-98-2"	"propylene glycol monomethyl ether"	553	43.4	294	0.722
"1070-01-5"	"tridecylamine"	839.25	6.07	1753.5	
"1070-32-2"	"3-methyl-1-heptanol"	616.9	28.11	496.5	0.806
"1070-78-6"	"1,1,1,3-tetrachloropropane"	654.78	37.41	388.5	0.31
"1070-83-3"	"3,3-dimethylbutanoic acid"	661	33.8	389	0.652
"1070-87-7"	"2,2,4,4-tetramethylpentane"	574.6	24.9	504	0.314
"1071-26-7"	"2,2-dimethylheptane"	576.7	23.5	519	0.391
"1071-31-4"	"2,2,7,7-tetramethyloctane"	635.1	18.39	685.5	0.403
"1071-81-4"	"2,2,5,5-tetramethylhexane"	581.4	21.9	584	0.377
"1071-84-7"	"1,1,1-trichlorononane"	710.31	21.16	675.5	0.52
"1071-94-9"	"trans-5-hepteN-2-one"	615	35.6	391.3	
"1072-05-5"	"2,6-dimethylheptane"	579	23	520	0.393
"1072-16-8"	"2,7-dimethyloctane"	604	21.3	575	0.442
"1072-33-9"	"tridecyl acetate"	732	13.2	925	1.194
"1072-39-5"	"13-docosenoic acid"	996	13	1314	
"1072-43-1"	"2-methylthiacyclopropane"	561.1	52.36	206.5	0.201
"1073-07-0"	"1,4-cyclooctadiene"	645	39	366	0.286
"1074-11-9"	"(1,2-dichloroethyl)benzene"	735	33	446	
"1074-17-5"	"1-methyl-2-propylbenzene"	662	29.4	482	0.407
"1074-43-7"	"1-methyl-3-propylbenzene"	654	28.1	482	0.413
"1074-55-1"	"1-methyl-4-propylbenzene"	656	28.1	482	0.413
"1074-92-6"	"1-methyl-2-tert-butyl benzene"	687.73	26.6	532.5	0.351
"107494-37-1"	"3-undecanol, (R)-"	696.85	21.3	650.5	0.596
"1075-38-3"	"1-methyl-3-tert-butylbenzene"	671.48	26.6	532.5	0.351
"1075-74-7"	"4-pentenylbenzene"	703	28	521.3	
"1076-61-5"	"1,2,3,4-tetrahydro-6,7-dimethylnaphthalene"	737.62	27.73	548.5	0.424
"1077-16-3"	"hexylbenzene"	698	23.8	593	0.479
"1078-04-2"	"2,3-dihydro-1,1,4,7-tetramethyl-1H-indene"	749.21	25.13	604.5	0.468
"1078-71-3"	"heptylbenzene"	714	21.8	648	0.529
