"CASRN"	"Chemical"	"Tc"	"Pc"	"Vc"	"omega"
"625-45-6"	"methoxyacetic acid"	691	49.8	251	0.625
"625-54-7"	"ethyl isopropyl ether"	489	34.1	329	0.306
"625-55-8"	"isopropyl formate"	518.5	38.9	282	0.313
"625-60-5"	"s-ethyl thioacetate"	590.55	40.75	319	0.31
"625-65-0"	"2,4-dimethyl-2-pentene"	533.21	30.02	402.5	0.278
"625-66-1"	"1,1-dichloro-3-methylbutane"	600.06	32.43	401.5	0.323
"625-67-2"	"2,4-dichloropentane"	628.96	32.43	401.5	0.323
"625-69-4"	"2,4-pentanediol"	629	43.3	325	1.122
"625-74-1"	"1-nitro-2-methylpropane"	609	35	336	0.415
"625-80-9"	"diisopropyl sulfide"	585.71	32.25	413.5	0.316
"625-82-1"	"2,4-dimethylpyrrole"	630	44	312.5	
"625-84-3"	"2,5-dimethylpyrrole"	630	44	312.5	
"625-86-5"	"2,5-dimethylfuran"	557.13	41.73	306.5	0.332
"625-96-7"	"3-methylcyclohexanone, (±)"	650	35.5	377.6	
"62521-69-1"	"1,2,3-trichloro-2-methylbutane"	635.09	31.21	451.5	0.345
"626-16-4"	"1,3-bis(chloromethyl)benzene"	735	33	446	
"626-21-1"	"2,4-diethylpyridine"	673	30	469.4	
"626-23-3"	"di-sec-butylamine"	601.45	26.52	517.6	0.5
"626-26-6"	"di-sec-butyl sulfide"	658.04	25.59	537.5	0.447
"626-33-5"	"2-methyl-4-heptanone"	624	26.4	469	0.528
"626-38-0"	"1-methylbutyl acetate"	579	28.1	442	0.459
"626-77-7"	"propyl hexanoate"	629	23.3	547	0.596
"626-82-4"	"butyl hexanoate"	637	22	600	0.579
"626-87-9"	"1,4-dibromopentane"	694.92	41.52	433.5	0.48
"626-88-0"	"1-bromo-4-methylpentane"	616.55	33.92	427.5	0.404
"626-89-1"	"4-methyl-1-pentanol"	603.5	36.3	380	0.591
"626-91-5"	"methyl 3-methylbutyl ether"	533.65	30.76	383.5	0.359
"626-92-6"	"1,4-dichloropentane"	643.04	32.14	407.5	0.352
"626-93-7"	"2-hexanol"	585.9	33.1	384	0.556
"626-94-8"	"1-methyl-4-penteN-1-ol"	587	39	303.8	
"626-95-9"	"1,4-pentanediol"	657.63	44.09	347.5	1.179
"6261-19-4"	"1-chloro-cis2-pentene"	577.85	35.3	344.5	0.296
"6261-25-2"	"1-chloro-trans-2-pentene"	579.36	35.3	344.5	0.296
"6262-87-9"	"2-isopropylbenzenethiol"	740	35	471.9	
"6263-62-3"	"[(ethylthio)methyl]benzene"	740	35	471.9	
"62689-51-4"	"1-dimethylamino-2-propylamine"	637.67	42.1	358	0.591
"6269-92-7"	"1,2-dibromooctane"	716.02	29.54	601.5	0.616
"627-02-1"	"ethyl isobutyl ether"	520.57	30.76	383.5	0.359
"627-05-4"	"1-nitrobutane"	623	37.6	341	0.455
"627-08-7"	"propyl isopropyl ether"	518.96	30.76	383.5	0.359
"627-19-0"	"1-pentyne"	481.2	41.7	277	0.29
"627-20-3"	"cis-2-pentene"	475.93	36.54	302.1	0.241
"627-21-4"	"2-pentyne"	519	40.3	276	0.175
"627-22-5"	"1-chloro-1,3-butadiene"	525	42.6	273	0.193
"627-26-9"	"trans-crotonitrile"	586	38.8	282	0.398
"627-27-0"	"3-buteN-1-ol"	559	52.2	223.2	
"627-31-6"	"1,3-diiodopropane"	766.97	41.62	379.5	0.273
"627-35-0"	"methyl-propylamine"	500	39.5	290	0.404
"627-36-1"	"propyl isocyanide"	554.09	37.78	285.5	0.383
"627-40-7"	"3-methoxy-1-propene"	475.15	40.73	263	0.266
"627-45-2"	"N-ethylformamide"	647	44.2	267	0.376
"627-58-7"	"2,5-dimethyl-1,5-hexadiene"	567	27.4	445	0.324
"627-59-8"	"5-methyl-2-hexanol"	581.44	31.49	434.5	0.731
"627-67-8"	"1-nitro-3-methylbutane"	630	32	387	0.458
"627-88-3"	"isopentyl stearate"	798	10.6	1223.2	
"627-90-7"	"ethyl undecanoate"	682	17.4	776	0.759
"627-96-3"	"1,5-dibromohexane"	684.21	36.82	489.5	0.526
"627-97-4"	"2-methyl-2-heptene"	575.22	26.87	464.5	0.351
"627-98-5"	"5-methyl-1-hexanol"	605	30.3	432	0.781
"62706-16-5"	"1-chloro-3-hexene"	583.61	31.6	400.5	0.341
"628-00-2"	"2-heptanethiol"	632	28	472	0.388
"628-04-6"	"ethyl isopentyl ether"	558.21	28.29	428.5	0.307
"628-05-7"	"1-nitropentane"	641.43	35.18	397.5	0.51
"628-08-0"	"2-buteN-1-yl acetate"	569	32.5	376	0.434
"628-17-1"	"1-iodopentane"	601.41	40.36	334.5	0.728
"628-21-7"	"1,4-diiodobutane"	720.71	36.91	435.5	0.317
"628-28-4"	"methyl butyl ether"	512.74	33.71	329	0.313
"628-29-5"	"2-thiahexane"	593	34.7	360	0.323
"628-32-0"	"ethyl propyl ether"	500.23	33.7	339	0.346
"628-41-1"	"1,4-cyclohexadiene"	569	47.3	277	0.205
"628-44-4"	"2-methyl-2-octanol"	604.24	25.74	547.5	0.78
"628-46-6"	"5-methylhexanoic acid"	680	29.9	442	0.717
"628-55-7"	"isobutyl ether"	562	25.3	487	0.424
"628-61-5"	"2-chlorooctane"	642.41	24.43	532.5	0.462
"628-63-7"	"pentyl acetate"	599.9	27.7	442	0.448
"628-71-7"	"1-heptyne"	559	31.4	386	0.273
"628-72-8"	"2,4-heptadiene"	556	34.5	347.8	
"628-73-9"	"hexanenitrile"	622.05	29.2	384	0.474
"628-76-2"	"1,5-dichloropentane"	668	31.9	396	0.377
"628-77-3"	"1,5-diiodopentane"	739.07	32.95	491.5	0.362
"628-80-8"	"methyl pentyl ether"	546.49	30.42	380	0.344
"628-81-9"	"ethyl butyl ether"	531	29.9	382	0.385
"628-87-5"	"1,1'-imidodiacetonitrile"	731	35.4	357	0.719
"628-92-2"	"cycloheptene"	598	40.1	336	0.252
"628-96-6"	"ethylene glycol dinitrate"	654	40.4	362	0.79
"628-97-7"	"ethyl palmitate"	746	13.4	991.3	
"628-99-9"	"2-nonanol"	649.6	25.3	575	0.595
"6280-03-1"	"vinyl nonanoate"	672	22.5	578.4	
"62882-00-2"	"8-methylisoquinoline"	778.59	37.05	463	0.428
"629-03-8"	"1,6-dibromohexane"	684.21	36.82	489.5	0.526
"629-04-9"	"1-bromoheptane"	651	30.8	477	0.444
"629-05-0"	"1-octyne"	585	28.2	441	0.323
"629-06-1"	"1-chloroheptane"	621.08	26.93	476.5	0.418
"629-08-3"	"heptanenitrile"	643.1	27.27	453.5	0.518
"629-09-4"	"1,6-diiodohexane"	762.6	29.86	541.5	0.376
"629-11-8"	"1,6-hexanediol"	683	36.1	398	1.216
"629-14-1"	"ethylene glycol diethyl ether"	561	29.3	402	0.482
"629-19-6"	"4,5-dithiaoctane"	675	30.3	463	0.437
"629-20-9"	"1,3,5,7-cyclooctatetraene"	642.55	41.41	345.5	0.244
"629-23-2"	"3-tetradecanone"	712.65	16.01	825.5	0.759
"629-27-6"	"1-iodooctane"	665.98	28.84	502.5	0.857
"629-30-1"	"1,7-heptanediol"	683.18	34.36	465.5	1.278
"629-32-3"	"1-methoxy-heptane"	563.33	25.07	489.3	0.415
"629-33-4"	"hexyl formate"	607	28	442	0.483
"629-37-8"	"1-nitrooctane"	690.75	25.66	565.5	0.643
"629-41-4"	"1,8-octanediol"	694.71	30.8	521.5	1.302
"629-45-8"	"5,6-dithiadecane"	704.16	26.24	591.5	0.529
"629-49-2"	"2-dodecyne"	686.26	20.47	669.5	0.498
"629-50-5"	"tridecane"	675	16.8	775	0.617
"629-58-3"	"pentadecyl acetate"	753	11.5	1041	
"629-59-4"	"tetradecane"	693	15.7	830	0.643
"629-60-7"	"tridecanenitrile"	733.04	16.12	789.5	0.753
"629-62-9"	"pentadecane"	708	14.8	889	0.686
"629-63-0"	"tetradecanenitrile"	745.12	14.94	845.5	0.781
"629-64-1"	"diheptyl ether"	692.83	15.03	837.5	0.71
"629-65-2"	"8-thiapentadecane"	762.23	15.44	873.5	0.7
"629-66-3"	"2-nonadecanone"	766.51	11.27	1105.5	0.843
"629-70-9"	"hexadecyl acetate"	762.5	10.7	1099	
"629-72-1"	"1-bromopentadecane"	762.51	14.92	937.5	0.786
"629-73-2"	"1-hexadecene"	722	14.8	933	0.724
"629-74-3"	"1-hexadecyne"	724.26	14.72	893.5	0.661
"629-75-4"	"2-hexadecyne"	742.19	14.86	893.5	0.65
"629-76-5"	"1-pentadecanol"	759	17	854	0.78
"629-78-7"	"heptadecane"	736	13.4	1028.9	0.77
"629-79-8"	"hexadecanenitrile"	768.13	12.95	957.5	0.823
"629-80-1"	"hexadecanal"	740.1	13.92	948.5	0.833
"629-82-3"	"dioctyl ether"	707	14.4	910	0.934
"629-89-0"	"1-octadecyne"	747.33	12.77	1005.5	0.715
"629-90-3"	"heptadecanal"	752.2	12.98	1004.5	0.849
"629-92-5"	"nonadecane"	758	12.1	1148.3	0.852
"629-93-6"	"1-iodooctadecane"	808.59	12.56	1062.5	1.022
"629-94-7"	"heneicosane"	778	11.1	1267.7	0.942
"629-96-9"	"1-eicosanol"	809	13	1120	0.918
"629-97-0"	"docosane"	787	10.6	1327.4	0.972
"629-98-1"	"cis-13-docoseN-1-ol"	811	11	1246.3	
"629-99-2"	"pentacosane"	812	9.5	1506.5	1.105
"6290-03-5"	"(R)-(-)-1,3-butanediol"	630.99	50.32	289.9	1.127
"6291-84-5"	"3-(methylamino)propylamine"	612.33	46.1	316.1	0.533
"6294-31-1"	"7-thiatridecane"	733.68	18.06	761.5	0.631
"62946-68-3"	"2-propyl-1,4-butanediol"	627.98	34.68	459.5	1.245
"63-91-2"	"L-phenylalanine"	854	34.7	506	0.852
"630-01-3"	"hexacosane"	819	9.1	1566.2	1.154
"630-02-4"	"octacosane"	832	8.5	1685.6	1.238
"630-03-5"	"nonacosane"	838	8.26	1745.3	1.265
"630-04-6"	"hentriacontane"	904.88	5.69	1864.7	
"630-05-7"	"tritriacontane"	935.79	5.2	1984.1	
"630-06-8"	"hexatriacontane"	986.42	6.8	2163.2	1.526
"630-07-9"	"pentatriacontane"	968.33	4.77	2103.5	
"630-08-0"	"carbon monoxide"	132.92	34.99	93.1	0.0663
"630-13-7"	"2,2-diiodopropane"	709.92	42.66	368.5	0.183
"630-16-0"	"1,1,1,2-tetrabromoethane"	800.13	46	384.5	0.544
"630-17-1"	"1-bromo-2,2-dimethylpropane"	578.18	38.58	366.5	0.296
"630-18-2"	"2,2-dimethylpropanenitrile"	565.78	34.44	330.5	0.335
"630-19-3"	"2,2-dimethylpropanal"	525.74	38.82	321.5	0.325
"630-20-6"	"1,1,1,2-tetrachloroethane"	624	40.2	325	0.242
"630-76-2"	"tetraphenylmethane"	983	17.9	966	0.679
"6303-21-5"	"hypophosphorous acid"	627.65	89.73	152.37	
"6304-18-3"	"3-isopropylpyridine"	653	33.3	417	0.376
"6305-71-1"	"2,4-dimethyl-1-pentanol"	592.4	31.49	434.5	0.731
"6308-94-7"	"diethyldecylamine"	675.16	15.7	857.5	0.717
"631-28-7"	"1,2,3-tribromo-2-methylpropane"	736.76	52.82	434.5	0.495
"631-36-7"	"tetraethylsilane"	606	24	587	0.4
"631-65-2"	"2-chloro-3-methylbutane"	555.08	33.84	352.5	0.269
"6310-21-0"	"2-tert-butylaniline"	690	29.85	525.5	0.69
"63126-48-7"	"3-ethyl-4-octanol"	613.33	23.34	602.5	0.852
"632-05-3"	"1,2,3-tribromobutane"	730.78	52.59	433.5	0.531
"632-15-5"	"3,4-dimethylthiophene"	640.4	40.6	325	0.298
"632-16-6"	"2,3-dimethylthiophene"	635.3	40.6	325	0.297
"632-50-8"	"1,1,2,2-tetraphenylethane"	827	16.7	1022	0.732
"632-51-9"	"tetraphenylethylene"	996	17.1	1020	0.729
"6321-23-9"	"4-methylcyclohexylamine"	622	34.9	393	0.386
"63318-29-6"	"cis-1-iodo-1-heptene"	677.01	28.91	495.5	0.375
"6339-13-5"	"2-methylpentanenitrile"	605.44	30.49	391.5	0.442
"634-66-2"	"1,2,3,4-tetrachlorobenzene"	772.88	36.47	459.5	0.437
"634-90-2"	"1,2,3,5-tetrachlorobenzene"	761.15	36.47	459.5	0.437
"63468-05-3"	"2-methyl-3-penteN-1-ol"	587	39	303.8	
"635-11-0"	"1,2,4,5-tetraisopropylbenzene"	754.52	14.81	967.8	0.742
"635-81-4"	"1,2,4,5-tetraethylbenzene"	706.85	19.3	711.5	0.562
"63521-36-8"	"3,4-dimethyl-1,4-pentanediol"	677.27	35.47	448.5	1.141
"63521-37-9"	"3-methyl-2,3-pentanediol"	670.5	39.91	392.5	1.105
"636-41-9"	"2-methylpyrrole"	610	47.7	283	0.213
"6362-80-7"	"2,4-diphenyl-4-methyl-1-pentene"	835	20	839	0.547
"6366-35-4"	"1-chloro-2,2-dimethylbutane"	583.68	30.46	409.5	0.283
"637-50-3"	"1-propenylbenzene"	656.71	34.51	411.8	0.321
"637-78-5"	"isopropyl propanoate"	553	30.3	392	0.432
"637-92-3"	"ethyl tert-butyl ether"	514	30.4	382	0.296
"637-97-8"	"2-iodopentane"	585.69	40.78	328.5	0.694
"63716-39-2"	"isobutoxypropanol, mixed isomers"	618	29.4	460.6	
"63716-40-5"	"N-butoxypropanol (mixed isomers)"	618	29.4	460.6	
"63716-41-6"	"2-ethylbutoxypropanol, mixed isomers"	654	26.4	540.7	
"63737-71-3"	"N,N'-diisopropyl-1,3-propanediamine"	741	28.5	597.4	
"63765-80-0"	"4-amino-2-methyl-3-hexanol"	716	33	468.3	
"6378-65-0"	"hexyl hexanoate"	667	18.93	717.3	0.699
"638-00-6"	"2,4-dimethylthiophene"	634	40.6	325	0.297
"638-02-8"	"2,5-dimethylthiophene"	627.8	40.6	325	0.297
"638-04-0"	"cis-1,3-dimethylcyclohexane"	591.15	29.38	450	0.237
"638-10-8"	"ethyl 3-methyl-2-butenoate"	592.33	28.3	428	0.432
"638-11-9"	"1-methylethyl butanoate"	574	27.3	447	0.464
"638-25-5"	"pentyl octanoate"	682	17.4	776	0.759
"638-28-8"	"2-chlorohexane"	584.57	30.09	414.5	0.343
"638-45-9"	"1-iodohexane"	667	33.5	449	0.398
"638-46-0"	"3-thiaheptane"	609	30	425.5	0.374
"638-49-3"	"pentyl formate"	576	31.25	389	0.528
"638-53-9"	"tridecanoic acid"	754	18.1	758	0.904
"638-59-5"	"tetradecyl acetate"	742.9	12.3	983	
"638-60-8"	"2-tetradecene"	716.27	16.44	781.5	0.55
"638-65-3"	"octadecanenitrile"	790.72	11.33	1069.5	0.84
"638-66-4"	"octadecanal"	762.31	12.12	1060.5	0.858
"638-67-5"	"tricosane"	796	10.2	1387.1	1.026
"638-68-6"	"triacontane"	844	8	1805	1.307
"6382-13-4"	"pentyl stearate"	798	10.6	1217	
"63905-13-5"	"N'-isopropyl-N,N'-dimethyl-1,3-propane-diamine"	715	31.5	525.3	
"64-17-5"	"ethyl alcohol"	513.92	61.48	167	0.645
"64-18-6"	"formic acid"	588	58.1	125	0.317
"64-19-7"	"acetic acid"	591.95	57.86	179.7	0.467
"64-67-5"	"diethyl sulfate"	749	64.8	398	0.387
"640-21-1"	"1,2-dibromo-3,3-dimethylbutane"	684.21	36.82	489.5	0.526
"641-91-8"	"1,2,5-trimethylnaphthalene"	779.72	26.71	577.5	0.492
"6414-96-6"	"5,5-dimethylnonane"	622.47	19.67	640.5	0.448
"6418-41-3"	"3-methyltridecane"	685.13	15.33	813.5	0.622
"6418-43-5"	"3-methylhexadecane"	727.5	12.38	1028.9	0.708
"6418-44-6"	"3-methylheptadecane"	740.59	11.59	1088.6	0.727
"6418-45-7"	"3-methylnonadecane"	764.46	10.21	1208	0.748
"642-32-0"	"1,2,3,4-tetraethylbenzene"	708.2	19.3	711.5	0.562
"6422-18-0"	"1-chlorotetracosane"	843.04	7.89	1428.5	0.703
"6423-02-5"	"2,3-dibromohexane"	684.21	36.82	489.5	0.526
"64245-25-6"	"cis-1-iodo-3-methyl-1-butene"	629.33	36.29	377.5	0.257
"64265-26-5"	"2,4-dimethyltetrahydrofuran"	564.54	36.47	332.5	0.282
"643-28-7"	"2-isopropylaniline"	705.58	32.84	482	0.413
"643-58-3"	"2-methylbiphenyl"	790.07	35.2	538	0.425
"643-93-6"	"3-methylbiphenyl"	801	35.2	538	0.418
"6434-78-2"	"trans-2-nonene"	593.62	23.72	524.8	0.411
"64379-30-2"	"2,4-dimethyl-2-pentanamine"	565.35	29.19	459.3	0.409
"644-08-6"	"4-methylbiphenyl"	793.4	35.2	538	0.439
"644-35-9"	"2-propylphenol"	716.37	38.58	365.5	0.496
"644-49-5"	"propylisobutanoate"	579.4	28.4	442	0.484
"644-98-4"	"2-isopropylpyridine"	653	33.3	417	0.376
"6443-92-1"	"cis-2-heptene"	549	28.4	424	0.294
"645-41-0"	"triisopentylamine"	711.57	14.34	901.2	0.754
"645-49-8"	"cis-stilbene"	784	27.4	596	0.476
"645-55-6"	"N-nitroaniline"	816.67	44.2	406	0.754
"645-56-7"	"4-propylphenol"	736.87	38.58	365.5	0.496
"645-62-5"	"2-ethyl-2-hexenal"	636	26.4	461	0.454
"64501-77-5"	"2-methyl-4-octene"	593.62	23.72	524.8	0.411
"64502-86-9"	"3,4-dimethyl-2-pentanol"	587.7	31.78	428.5	0.697
"64531-23-3"	"cis-1-chloro-1-octene"	640.48	25.74	512.5	0.43
"646-04-8"	"trans-2-pentene"	475.37	36.54	302.1	0.237
"646-05-9"	"1-pentene-3-yne"	520	44	256	0.252
"646-07-1"	"4-methylpentanoic acid"	661	33.8	389	0.652
"646-13-9"	"isobutyl stearate"	764	11.1	1135.3	
"646-14-0"	"1-nitrohexane"	659.32	31.49	453.5	0.555
"646-19-5"	"1,7-heptanediamine"	689	34.5	465.4	
"646-24-2"	"1,9-diaminononane"	741	28.5	597.4	
"646-30-0"	"nonadecanoic acid"	812	13	1070	1.063
"646-31-1"	"tetracosane"	804	9.8	1446.8	1.071
"6464-40-0"	"DL-threo-4-methyl-2,3-pentanediol"	685.78	39.76	391.5	1.143
"6481-95-4"	"4,4-dimethyl-1-hexanol"	617.99	28.44	491.5	0.738
"64919-20-6"	"3-thiaoctadecane"	798.63	12.46	1041.5	0.774
"65-85-0"	"benzoic acid"	751	44.7	344	0.603
"65016-55-9"	"3-decylthiophene"	785	19	851	
"65016-61-7"	"3-heptylthiophene"	725	24	632.1	
"65016-62-8"	"3-octylthiophene"	745	22	705.8	
"65036-71-7"	"4,5-dimethyl-cis2-hexene"	562.01	27.18	451.5	0.317
"65072-05-1"	"1-tetracontyne"	1041.84	4.15	2237.5	
"65423-25-8"	"11-dodecenoic acid"	816	20	723.2	
"65502-58-1"	"3,3,4-trimethyl-1-pentanol"	606.5	28.69	485.5	0.706
"65530-93-0"	"3-methyl-1-hexanamine"	565.35	29.19	459.3	0.409
"65591-14-2"	"eicosyl propanoate"	804.3	7.9	1389	
"6561-44-0"	"3-methyloctadecane"	752.9	10.86	1148.3	0.741
"6569-51-3"	"borazine"	521.2	36.34	326.72	0.092
"6570-87-2"	"3,4-dimethyl-1-pentanol"	600.63	31.49	434.5	0.731
"6570-88-3"	"2,3,4-trimethyl-1-pentanol"	619.59	28.6	484.5	0.741
"6572-99-2"	"thiacyclooctane"	726.84	38.67	391.5	0.255
"65769-10-0"	"6,6-dimethyl-1-heptanol"	609.4	25.74	547.5	0.78
"65786-09-6"	"2,2-dichloroheptane"	654.02	26.14	519.5	0.442
"65786-11-0"	"2-chloro-1-heptene"	613.52	28.44	456.5	0.385
"65822-93-7"	"2,4-dimethyl-2-heptanol"	612.62	25.95	541.5	0.748
"659-70-1"	"3-methylbutyl isopentanoate"	637	22	600	0.579
"65927-60-8"	"2,3,5-trimethyl-3-hexanol"	594.3	26.16	535.5	0.716
"6596-40-3"	"N-pentacontane"	1073.6	3.51	2999	
"66-25-1"	"hexanal"	591	34.6	369	0.387
"661-11-0"	"1-fluoroheptane"	555.8	25.8	443	0.436
"661-19-8"	"1-docosanol"	811.6	10.9	1230.6	
"661-53-0"	"2-fluoro-2-methylbutane"	486.17	33.65	322.5	0.238
"661-97-2"	"1,2-dichlorohexafluoropropane"	449	25.7	369	0.329
"66142-53-8"	"1,1-diiodoundecane"	855.13	18.74	821.5	0.591
"66142-59-4"	"cis-1-bromo-1-undecene"	699.36	21.57	693.5	0.621
"66142-60-7"	"trans-1-bromo-1-undecene"	699.36	21.57	693.5	0.621
"66142-61-8"	"trans-1-chloro-1-undecene"	700.84	19.6	680.5	0.558
"66142-62-9"	"trans-1-fluoro-1-undecene"	615.67	19.46	649.5	0.557
"66142-63-0"	"cis-1-iodo-1-undecene"	735.45	19.86	719.5	0.548
"66142-64-1"	"trans-1-iodo-1-undecene"	735.45	19.86	719.5	0.548
"66142-71-0"	"2,3-diethylphenol"	719.7	33.76	421.5	0.541
"66142-78-7"	"2-methyl-3-propylphenol"	733.95	33.76	421.5	0.541
"66172-73-4"	"cis-1-chloro-1-undecene"	700.84	19.6	680.5	0.558
"66172-74-5"	"cis-1-fluoro-1-undecene"	615.67	19.46	649.5	0.557
"66213-67-0"	"cis-1-chloro-3-methyl-1-butene"	558.56	35.64	338.5	0.267
"66213-68-1"	"trans-1-chloro-3-methyl-1-butene"	558.56	35.64	338.5	0.267
"66213-69-2"	"cis-1-chloro-1-pentene"	546.85	35.3	344.5	0.296
"66213-70-5"	"trans-1-chloro-1-pentene"	546.85	35.3	344.5	0.296
"66213-72-7"	"cis-1-fluoro-2-methyl-1-butene"	482.63	35.18	314.5	0.271
"66213-73-8"	"cis-1-fluoro-3-methyl-1-butene"	482.91	35.3	307.5	0.266
"66213-74-9"	"trans-1-fluoro-2-methyl-1-butene"	482.63	35.18	314.5	0.271
"66213-75-0"	"trans-1-fluoro-3-methyl-1-butene"	482.91	35.3	307.5	0.266
"66213-76-1"	"1-fluoro-2-methyl-cis2-butene"	482.63	35.18	314.5	0.271
"66213-77-2"	"1-fluoro-2-methyl-trans-2-butene"	482.63	35.18	314.5	0.271
"66213-78-3"	"2-fluoro-3-methyl-1-butene"	472.95	35.1	309.5	0.251
"66213-79-4"	"2-fluoro-3-methyl-2-butene"	486.02	35.39	315.5	0.246
"66213-80-7"	"3-fluoro-3-methyl-1-butene"	473.89	35.35	303.5	0.216
"66213-81-8"	"4-fluoro-2-methyl-1-butene"	469.43	34.77	315.5	0.281
"66213-82-9"	"4-fluoro-3-methyl-1-butene"	469.68	34.89	308.5	0.276
"66213-83-0"	"cis-1-fluoro-1-pentene"	479.34	34.97	313.5	0.296
"66213-84-1"	"trans-1-fluoro-1-pentene"	479.34	34.97	313.5	0.296
"66213-85-2"	"1-fluoro-cis2-pentene"	479.34	34.97	313.5	0.296
"66213-86-3"	"1-fluoro-trans-2-pentene"	479.34	34.97	313.5	0.296
"66213-87-4"	"2-fluoro-cis2-pentene"	482.63	35.18	314.5	0.271
"66213-88-5"	"2-fluoro-trans-2-pentene"	482.63	35.18	314.5	0.271
"66213-89-6"	"2-fluoro-1-pentene"	469.43	34.77	315.5	0.281
"66213-90-9"	"3-fluoro-cis2-pentene"	482.63	35.18	314.5	0.271
"66213-91-0"	"1,1-diiodononacosane"	1292.15	6.13	1829.5	
"66213-93-2"	"nonacosylamine"	926.61	6.43	1688.5	
"66213-94-3"	"diethylpentacosylamine"	850.99	6.36	1697.5	
"66213-95-4"	"dimethylheptacosylamine"	885.47	6.36	1697.5	
"66213-96-5"	"ethylheptacosylamine"	895.8	6.28	1694.5	
"66213-97-6"	"methyloctacosylamine"	889.63	6.28	1694.5	
"66213-98-7"	"1,1-diiodotriacontane"	1325.37	5.85	1885.5	
"66214-00-4"	"triacontylamine"	941.88	6.12	1744.5	
"66214-01-5"	"diethylhexacosylamine"	865.2	6.07	1753.5	
"66214-02-6"	"dimethyloctacosylamine"	898.56	6.07	1753.5	
"66214-03-7"	"ethyloctacosylamine"	909.72	5.99	1750.5	
"66214-04-8"	"methylnonacosylamine"	903.52	5.99	1750.5	
"66214-07-1"	"1,1-diiodohentriacontane"	1360.04	5.59	1941.5	
"66214-08-2"	"hentriacontylamine"	958.15	5.84	1800.5	
"66214-09-3"	"diethylheptacosylamine"	877.8	5.79	1809.5	
"66214-10-6"	"dimethylnonacosylamine"	912.56	5.79	1809.5	
"66214-11-7"	"ethylnonacosylamine"	924.58	5.72	1806.5	
"66214-12-8"	"methyltriacontylamine"	918.35	5.72	1806.5	
"66214-13-9"	"1,1-diiododotriacontane"	1396.28	5.34	1997.5	
"66214-14-0"	"dotriacontylamine"	974.21	5.58	1856.5	
"66214-15-1"	"diethyloctacosylamine"	891.32	5.53	1865.5	
"66214-16-2"	"dimethyltriacontylamine"	927.51	5.53	1865.5	
"66214-17-3"	"ethyltriacontylamine"	940.45	5.47	1862.5	
"66214-18-4"	"methylhentriacontylamine"	932.92	5.47	1862.5	
"66214-19-5"	"1,1-diiodotritriacontane"	1434.22	5.11	2053.5	
"66214-22-0"	"diethylnonacosylamine"	907.05	5.29	1921.5	
"66214-23-1"	"dimethylhentriacontylamine"	942.21	5.29	1921.5	
"66214-24-2"	"ethylhentriacontylamine"	956.12	5.23	1918.5	
"66214-25-3"	"methyldotriacontylamine"	949.8	5.23	1918.5	
"66214-26-4"	"1,1-diiodotetratriacontane"	1474	4.9	2109.5	
"66214-29-7"	"tetratriacontylamine"	1008.41	5.11	1968.5	
"66214-30-0"	"diethyltriacontylamine"	923.81	5.06	1977.5	
"66214-31-1"	"dimethyldotriacontylamine"	959.24	5.06	1977.5	
"66214-32-2"	"ethyldotriacontylamine"	974.18	5.01	1974.5	
"66214-33-3"	"methyltritriacontylamine"	966.53	5.01	1974.5	
"6622-76-0"	"methyl 2-methyl-2-butenoate"	569	32.5	376	0.434
"66225-12-5"	"3,5-dimethyl-trans-2-hexene"	564.15	27.1	458.5	0.322
"66225-14-7"	"4,5-dimethyl-trans-2-hexene"	562.01	27.18	451.5	0.317
"66225-15-8"	"3-ethyl-trans-2-hexene"	572.89	26.87	464.5	0.351
"66225-16-9"	"4-methyl-cis2-heptene"	563.49	26.96	457.5	0.347
"66225-17-0"	"4-methyl-trans-2-heptene"	563.49	26.96	457.5	0.347
"66225-18-1"	"6-methyl-cis2-heptene"	567.85	26.96	457.5	0.347
"66225-19-2"	"6-methyl-cis3-heptene"	564.94	26.96	457.5	0.347
"66225-20-5"	"6-methyl-trans-3-heptene"	564.94	26.96	457.5	0.347
"66225-22-7"	"1,1-diiodooctane"	799.06	24.46	653.5	0.465
"66225-30-7"	"2,3-dimethyl-trans-3-hexene"	567.08	27.1	458.5	0.322
"66225-31-8"	"3,5-dimethyl-cis2-hexene"	564.15	27.1	458.5	0.322
"66225-32-9"	"3-ethyl-2,3-pentanediol"	628.77	35.47	448.5	1.141
"66225-33-0"	"3-ethyl-2,4-pentanediol"	626.93	35.35	447.5	1.178
"66225-35-2"	"2-methyl-2,4-hexanediol"	677.27	35.47	448.5	1.141
"66225-37-4"	"4-methyl-1,5-hexanediol"	660.11	35.01	453.5	1.212
"66225-38-5"	"dimethyl-1,2-dimethylpropylamine"	565.3	29.41	459.5	0.406
"66225-39-6"	"dimethyl-2-methylbutylamine"	561.68	29.41	459.5	0.406
"66225-40-9"	"methylethylbutylamine"	560.63	29.16	465.5	0.437
"66225-41-0"	"methylethyl-sec-butylamine"	544.53	29.41	459.5	0.406
"66225-42-1"	"methylpropylisopropylamine"	558.79	29.41	459.5	0.406
"66225-46-5"	"cis-1-fluoro-1-hexene"	502.87	31.31	369.5	0.34
"66225-47-6"	"trans-1-fluoro-1-hexene"	502.87	31.31	369.5	0.34
"66225-50-1"	"1,1-diiodohexane"	762.6	29.86	541.5	0.376
